ID,Nombre,Duracion,Genero,Episodio_Titulo,Temporada
S11,Serie 1,50,Drama,Episodio 1,1
S12,Serie 1,50,Drama,Episodio 2,1
S13,Serie 1,50,Drama,Episodio 3,1
S14,Serie 1,50,Drama,Episodio 4,1
S15,Serie 1,50,Drama,Episodio 5,1
S21,Serie 2,45,Accion,Episodio 1,1
S22,Serie 2,45,Accion,Episodio 2,1
S23,Serie 2,45,Accion,Episodio 3,1
S24,Serie 2,45,Accion,Episodio 4,1
S25,Serie 2,45,Accion,Episodio 5,1
S31,Serie 3,60,Misterio,Episodio 1,1
S32,Serie 3,60,Misterio,Episodio 2,1
S33,Serie 3,60,Misterio,Episodio 3,1
S34,Serie 3,60,Misterio,Episodio 4,1
S35,Serie 3,60,Misterio,Episodio 5,1
S41,Serie 4,40,Drama,Episodio 1,1
S42,Serie 4,40,Drama,Episodio 2,1
S43,Serie 4,40,Drama,Episodio 3,1
S44,Serie 4,40,Drama,Episodio 4,1
S45,Serie 4,40,Drama,Episodio 5,1
S51,Serie 5,55,Accion,Episodio 1,1
S52,Serie 5,55,Accion,Episodio 2,1
S53,Serie 5,55,Accion,Episodio 3,1
S54,Serie 5,55,Accion,Episodio 4,1
S55,Serie 5,55,Accion,Episodio 5,1
S61,Serie 6,50,Misterio,Episodio 1,1
S62,Serie 6,50,Misterio,Episodio 2,1
S63,Serie 6,50,Misterio,Episodio 3,1
S64,Serie 6,50,Misterio,Episodio 4,1
S65,Serie 6,50,Misterio,Episodio 5,1
S71,Serie 7,45,Drama,Episodio 1,1
S72,Serie 7,45,Drama,Episodio 2,1
S73,Serie 7,45,Drama,Episodio 3,1
S74,Serie 7,45,Drama,Episodio 4,1
S75,Serie 7,45,Drama,Episodio 5,1
S81,Serie 8,60,Accion,Episodio 1,1
S82,Serie 8,60,Accion,Episodio 2,1
S83,Serie 8,60,Accion,Episodio 3,1
S84,Serie 8,60,Accion,Episodio 4,1
S85,Serie 8,60,Accion,Episodio 5,1
S91,Serie 9,55,Misterio,Episodio 1,1
S92,Serie 9,55,Misterio,Episodio 2,1
S93,Serie 9,55,Misterio,Episodio 3,1
S94,Serie 9,55,Misterio,Episodio 4,1
S95,Serie 9,55,Misterio,Episodio 5,1
S101,Serie 10,40,Drama,Episodio 1,1
S102,Serie 10,40,Drama,Episodio 2,1
S103,Serie 10,40,Drama,Episodio 3,1
S104,Serie 10,40,Drama,Episodio 4,1
S105,Serie 10,40,Drama,Episodio 5,1
